alpha,Cl,Cd,Cm,airfoil,Re,LD
-2.0,0.0257,0.00756,-0.0561,NACA 2412,500000,3.3994708994708995
4.0,0.7064,0.00829,-0.0552,NACA 2412,500000,85.21109770808202
8.0,1.0709,0.01427,-0.0413,NACA 2412,500000,75.04555010511562
12.0,1.3248,0.02599,-0.0159,NACA 2412,500000,50.97345132743363
-2.0,0.0219,0.0066,-0.0539,NACA 2412,1000000,3.318181818181818
0.0,0.2372,0.00565,-0.052,NACA 2412,1000000,41.982300884955755
4.0,0.7148,0.00693,-0.0574,NACA 2412,1000000,103.14574314574314
8.0,1.0874,0.01234,-0.0445,NACA 2412,1000000,88.11993517017828
12.0,1.4085,0.02001,-0.0264,NACA 2412,1000000,70.38980509745127
-2.0,0.0184,0.00604,-0.0528,NACA 2412,2000000,3.0463576158940397
0.0,0.2407,0.00548,-0.0525,NACA 2412,2000000,43.92335766423358
4.0,0.6905,0.00604,-0.0523,NACA 2412,2000000,114.32119205298012
8.0,1.1018,0.01078,-0.0472,NACA 2412,2000000,102.2077922077922
